CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;Letras_Hipotecarias;LCI;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
12.978.943/0001-72;2016-10-01;2;5224385.32;5224385.32;;;;346465371.55;346465371.55;;66880024.16;208353548.59;;;71231798.8;;;;;;;;;;;;;;;;;;;;63638523.12;;;63638523.12;;4166.67;;;;410194364.55;;;;9865459.15;420063990.37
12.978.943/0001-72;2016-11-01;1;6264853.58;6264853.58;;;;353387074.08;353387074.08;;66514559.55;215715438.9;;;71157075.63;;;;;;;;;;;;;;;;;;;;54716323.92;;;54716323.92;;208.33;;;;409925922.73;;;;9282474.27;419208605.33
12.978.943/0001-72;2016-12-01;2;2885268.3;2885268.3;;;;358860952.87;358460557.1;;66149094.93;221229109.72;;;71082352.45;;;;;;;;;;400395.77;;;;;;;;;;50123102.84;;;50123102.84;;4166.67;;;;410089960.94;;;;6770798.09;416864925.7
12.989.974/0001-29;2016-10-01;1;39924257.27;10418.3;36418294.31;0;3495544.66;10286821762.71;758948833.51;268111930.7;0;356874437.67;0;133962465.14;0;0;0;0;0;0;0;0;71395.2;0;0;0;51114476.83;0;9476687057.17;0;0;0;0;0;146672652.96;0;0;146672652.96;0;4666773.07;0;0;0;0;0;0;0;4607606289.91;4612273062.98
12.989.974/0001-29;2016-11-01;1;35164681.43;12683.39;31622870.39;0;3529127.65;10286821496.81;758948833.51;268111930.7;0;356874437.67;0;133962465.14;0;0;0;0;0;0;0;0;71129.3;0;0;0;51114476.83;0;9476687057.17;0;0;0;0;0;146891482.65;0;0;146891482.65;0;4672761.94;0;0;0;0;0;0;0;4607328978.3;4612001740.24
12.989.974/0001-29;2016-12-01;2;29869538.3;20022.12;26748505.22;0;3101010.96;7084048564.07;902381930.7;268111930.7;0;530000000;0;104270000;0;0;0;0;0;0;0;0;72862;0;0;0;49514985.77;0;6132078785.6;0;0;0;0;0;302424048.82;0;0;302424048.82;0;5135620.03;0;0;0;0;0;0;0;5000996954.95;5006132574.98
13.012.312/0001-67;2016-11-01;1;3284.05;3284.05;;;;239596522.68;239485664.21;;205225247.54;;;;34260416.67;;;;;;;;;;110858.47;;;;;;;;;;807178.93;;;807178.93;;208.33;;;;240533831.08;;;;1655785.05;242189824.46
13.012.312/0001-67;2016-12-01;1;3284.05;3284.05;;;;237320580.24;237208581.45;;203203521.93;;;;34005059.52;;;;;;;;;;111998.79;;;;;;;;;;806762.7;;;806762.7;;3787.88;;;;238260532.8;;;;1658906.64;239923227.32
13.022.994/0001-99;2016-11-01;1;1955340.18;50501.01;0;0;1904839.17;716704788.16;716704788.16;0;716704788.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6337808.44;3237927.93;0;3099880.51;437438.29;38598.28;0;0;0;2745478.47;0;0;0;9231342.87;12452857.91
13.022.994/0001-99;2016-12-01;1;2045672.15;16636.18;0;0;2029035.97;723843500;723843500;0;723843500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9749967.51;6157653.63;0;3592313.88;12162842.37;38531.93;0;0;0;2786269.14;0;0;403142.57;8716333.79;24107119.8
13.320.290/0001-00;2016-10-01;1;252118.32;911.07;0;0;251207.25;44796114.77;44796114.77;0;44796114.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;162771.27;0;0;162771.27;0;10000;0;0;0;0;0;0;0;46819.36;56819.36
13.320.290/0001-00;2016-11-01;1;332842.63;0;0;0;332842.63;44796114.77;44796114.77;0;44796114.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56357.92;0;0;56357.92;0;10000;0;0;0;0;0;0;0;51480.39;61480.39
13.320.290/0001-00;2016-12-01;1;332842.63;0;0;0;332842.63;44796114.77;44796114.77;0;44796114.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56357.92;0;0;56357.92;0;10000;0;0;0;0;0;0;0;51480.39;61480.39
